epoch,with_emotions,zeroed_emotions,delta
1,66.67964385625383,29.02900159820703,-37.6506422580468
2,10.678532170027568,54.07848021243921,43.399948042411644
3,14.597413863308184,5.079446066493162,-9.517967796815022
4,42.313205885956194,8.318046074812493,-33.9951598111437
5,13.830993135837103,19.380833710863094,5.549840575025991
6,10.38510126590952,22.365217696923903,11.980116431014382
7,46.05364507102512,13.620971971229443,-32.43267309979568
8,15.883586975315653,35.30068967116531,19.417102695849657
9,7.34773557287533,22.39357794520298,15.045842372327652
10,57.735554545621085,24.541260475373054,-33.194294070248034
11,15.94989189224264,4.131858772285019,-11.81803311995762
12,44.84286929557965,11.34331037553517,-33.499558920044485
13,8.209004355619529,8.111299233098308,-0.0977051225212211
14,29.242211807176563,3.0326532985631673,-26.209558508613394
15,15.524638408809718,19.89299342056877,4.3683550117590535
16,-0.4670332464782896,8.976346639199162,9.443379885677452
17,40.53651640999452,28.209420382413693,-12.327096027580826
18,2.433761279799859,-7.123444505743002,-9.55720578554286
19,51.57114402377296,15.531261346446486,-36.039882677326474
20,-4.099006633466224,14.516575098466955,18.61558173193318
21,20.99483925905867,0.4446080872969315,-20.550231171761737
22,4.45702487122703,14.892511857450812,10.435486986223783
23,5.1702372736729965,28.491835865870762,23.321598592197766
24,14.832167044222023,20.127120501902244,5.29495345768022
25,8.895518725187749,19.84489453098276,10.949375805795011
26,16.680088197101494,6.6155817319331796,-10.064506465168314
27,25.66823649638844,45.71790863449381,20.049672138105368
28,13.441686157674205,13.928931754953114,0.4872455972789087
29,19.32263504255773,13.115524228169255,-6.207110814388477
30,2.4914008552269262,30.68852968338893,28.197128828162
31,17.83580640564562,4.6155817319331796,-13.22022467371244
32,30.860800592451877,12.901292205655967,-17.95950838679591
33,37.84010777914156,0.5782902353362231,-37.261817543805336
34,36.2074600092567,57.07921000724145,20.87174999798475
35,22.59686439352215,24.639457510025586,2.0425931165034363
36,12.250271266476572,11.2122282412277,-1.0380430252488715
37,27.89515605662236,57.110630296857174,29.215474240234816
38,34.93218334860228,2.020931687634425,-32.91125166096786
39,9.620238680786528,10.917677777891194,1.2974390971046663
40,6.663398483931622,57.91564715722148,51.252248673289856
41,6.521952510887068,16.92330217260689,10.40134966171982
42,64.05275346063644,6.064506465168313,-57.988246995468124
43,4.176351057056361,16.583284745487116,12.406933688430755
44,9.560814017479004,32.59791733192195,23.037103314442945
45,47.21523347365239,6.608320026187096,-40.606913447465296
46,20.20213347165248,9.201865907950971,-11.00026756370151
47,13.699349271140582,5.329568395532759,-8.369780875607823
48,44.4183365977402,5.042538172931132,-39.37579842480907
49,8.89579521156474,30.465838615168952,21.57004340360421
50,33.99997127493893,12.399301487046309,-21.60066978789262
51,10.907367736740957,36.05664269072496,25.149274953984005
52,27.243036333625117,40.2116845126771,12.968648179051986
53,65.23044264915428,12.053603978695813,-53.17683867045847
54,3.5427254058581354,2.0992054737218515,-1.443519932136284
55,39.44273602469325,8.836559185181587,-30.60617683951166
56,-2.9007945262781485,9.367611420781628,12.268405947059776
57,13.47056906648132,16.286348779209668,2.8157797127283484
58,26.204571002084087,9.085559849876526,-17.119011152207563
59,50.778739552684684,0.0,-50.778739552684684
60,11.6757592368977,5.923153255787682,-5.752605981110019
61,8.490316983875442,8.55587414248056,0.06555715860511846
62,20.636513419567603,4.075353272665386,-16.561160146902218
63,31.728103694026693,40.16539054971557,8.437286855688875
64,13.350948513538132,51.829904170041615,38.47895565650349
65,5.729950659090306,33.641403788327025,27.91145312923672
66,26.745991901752813,-2.8297627263270035,-29.575754628079817
67,1.1362162992638138,3.4232547752179325,2.2870384759541187
68,11.443492286712987,0.2806738141706686,-11.162818472542318
69,16.00093714460907,54.93117357873123,38.930236434122165
70,4.6155817319331796,31.052458942426973,26.436877210493794
71,44.28246236124497,6.936745313487108,-37.34571704775786
72,6.022277870013772,16.018226946125033,9.99594907611126
73,53.223099541019714,22.01505571698142,-31.208043824038295
74,26.846442333121903,14.083767539207402,-12.7626747939145
75,40.53086190609534,10.707744059774377,-29.82311784632096
76,9.951608839551596,5.8699969815594875,-4.081611857992109
77,28.326889876078532,8.439529513999009,-19.887360362079523
78,-2.6313517788833005,10.138776059112395,12.770127837995695
79,16.525039569464923,30.0611203137834,13.536080744318479
80,18.731220335650583,31.967631791474577,13.236411455823994
81,67.46156133775757,21.20582149431773,-46.25573984343984
82,39.58341567531863,53.37209823086044,13.788682555541804
83,17.546806605625274,7.566990988996354,-9.97981561662892
84,21.298071951142145,26.7391047909895,5.441032839847356
85,9.412043197788016,14.192490494221046,4.78044729643303
86,40.9615969850574,30.11748337770629,-10.844113607351108
87,7.941862091383333,13.801859601381798,5.859997509998465
88,35.48958714102237,21.545139343727758,-13.944447797294611
89,18.670016474894517,14.805888186775318,-3.8641282881191987
90,10.077344423590137,-3.877592098859754,-13.954936522449891
91,6.8860091705495785,49.086732002386086,42.20072283183651
92,16.37995019653444,36.22359424615266,19.843644049618216
93,22.482169627223158,30.93399069328038,8.45182106605722
94,38.38268404053173,14.91195750441415,-23.470726536117578
95,25.921102712915676,-3.0,-28.921102712915676
96,23.43952951399901,39.75849234192232,16.31896282792331
97,9.39048534138816,1.7147753968856736,-7.675709944502486
98,0.0,8.527000731472302,8.527000731472302
99,25.718806347592828,9.457223711482659,-16.26158263611017
100,29.713651760193358,20.888530955107093,-8.825120805086264
