epochs,losses,rewards,epsilons
0,0.0,-381.0,0.049995000000000005
1,0.0,-372.0,0.049990000500000006
2,0.0,-256.58787524028594,0.049985001499950006
3,0.0,-314.90079452627816,0.04998000299980001
4,0.0,-250.2859491653082,0.04997500499950003
5,0.0,-329.32332358381694,0.04997000749900008
6,0.0,-425.9297253006325,0.04996501049825018
7,3.46,-361.0990066334662,0.049960013997200355
8,3.13,-227.96734670143684,0.049955017995800634
9,3.09,-250.1865587225161,0.04995002249400105
10,3.18,-261.3960014465272,0.04994502749175165
11,2.55,-254.71932618582935,0.04994003298900247
12,2.55,-341.79710942776387,0.049935038985703575
13,2.5,-206.63114666694517,0.049930045481805005
14,2.56,-207.40172664935196,0.04992505247725682
15,2.24,-303.0,0.049920059972009094
16,2.36,-249.56623872020015,0.049915067966011896
17,2.42,-344.32332358381694,0.049910076459215295
18,2.32,-354.0,0.049905085451569374
19,1.79,-444.0,0.04990009494302422
20,2.0,-324.6085363781619,0.049895104933529916
21,2.18,-319.542975128773,0.04989011542303656
22,1.94,-356.3848557999079,0.04988512641149426
23,0.0,-291.0,0.04988013789885311
24,0.0,-236.01050650458194,0.049875149885063225
25,0.0,-265.90079452627816,0.049870162370074717
26,0.0,-270.4926993203745,0.04986517535383771
27,0.0,-333.0,0.049860188836302326
28,0.0,-381.0,0.049855202817418696
29,0.0,-338.18635943230765,0.049850217297136956
30,2.52,-299.829762726327,0.04984523227540724
31,2.37,-330.0,0.049840247752179705
32,2.18,-323.90079452627816,0.04983526372740449
33,2.6,-275.96734670143684,0.04983028020103175
34,2.36,-307.1194965138586,0.04982529717301165
35,2.03,-205.36300784504883,0.04982031464329435
36,2.04,-192.60887635312497,0.04981533261183002
37,2.11,-149.99980115974438,0.04981035107856884
38,2.06,-92.56623872020015,0.049805370043460986
39,2.02,-180.0,0.04980038950645664
40,1.79,-155.92265557640985,0.049795409467506
41,1.74,-172.3657320899012,0.04979042992655925
42,1.69,-189.0,0.0497854508835666
43,1.59,-196.09900663346622,0.04978047233847824
44,1.66,-387.0,0.04977549429124439
45,1.67,-286.5062712352062,0.04977051674181527
46,0.0,-152.4386523716587,0.04976553969014109
47,0.0,-309.0,0.049760563136172074
48,0.0,-237.0,0.04975558707985846
49,0.0,-157.64397291316394,0.04975061152115047
50,0.0,-212.31414356869934,0.049745636459998355
51,0.0,-217.82364894294363,0.04974066189635235
52,0.0,-192.2970445453505,0.04973568783016272
53,1.67,-304.3517649695036,0.0497307142613797
54,1.63,-181.68916661753008,0.049725741189953564
55,1.7,-134.7833631020112,0.04972076861583457
56,1.76,-161.01050650458194,0.049715796538972984
57,1.73,-158.82335010382144,0.04971082495931909
58,1.35,-119.61737591185796,0.04970585387682316
59,1.56,-54.0,0.049700883291435474
60,1.48,-105.0,0.04969591320310633
61,1.38,-108.33613499112168,0.04969094361178602
62,1.43,-0.7128016622813012,0.04968597451742484
63,1.29,-75.0,0.0496810059199731
64,1.1,7.05291392996277,0.049676037819381104
65,1.15,-129.33801047319426,0.04967107021559917
66,1.02,-92.96734670143684,0.04966610310857761
67,1.2,-37.07700712918272,0.04966113649826675
68,1.1,-104.92972530063254,0.04965617038461692
69,0.0,-71.51966774353937,0.049651204767578457
70,0.0,-68.0,0.0496462396471017
71,0.0,-19.146972526760575,0.04964127502313699
72,0.0,-66.0,0.04963631089563468
73,0.0,-58.025484610053496,0.049631347264545114
74,0.0,-89.22981659113756,0.04962638412981866
75,0.0,-11.297701941299858,0.04962142149140568
76,0.0,-96.27258397948776,0.04961645934925654
77,1.01,-91.44566506826033,0.049611497703321614
78,0.92,7.190960436354481,0.04960653655355128
79,0.84,-29.767093238868053,0.049601575899895924
80,0.82,-123.32913968356335,0.049596615742305936
81,0.83,3.6770932239843006,0.049591656080731704
82,0.93,-8.503205824956474,0.04958669691512363
83,0.76,-22.45077031646657,0.04958173824543212
84,0.61,-69.67883641844607,0.049576780071607575
85,0.82,-221.31957149998337,0.04957182239360042
86,0.55,13.225348519605184,0.049566865211361055
87,0.65,-26.2459791602268,0.049561908524839916
88,0.52,-42.31044159665062,0.049556952333987436
89,0.67,2.0992054737218515,0.04955199663875404
90,0.47,-30.953207232070007,0.04954704143909016
91,0.58,7.574817483470746,0.04954208673494625
92,0.53,-57.62667331383521,0.04953713252627275
93,0.0,-59.77906226685676,0.04953217881302013
94,0.0,-8.0,0.04952722559513883
95,0.0,2.302683331168742,0.049522272872579313
96,0.0,-154.76292480731877,0.04951732064529206
97,0.0,3.679351826138242,0.04951236891322753
98,0.0,-43.15390542395293,0.04950741767633621
99,0.0,7.4565860528826615,0.04950246693456858
100,0.49,-72.3764128910806,0.04949751668787512
101,0.43,0.8566010806289968,0.049492566936206336
102,0.41,-19.411904584277814,0.049487617679512715
103,0.49,20.663605614897396,0.04948266891774476
104,0.44,-15.407709028750698,0.049477720650852985
105,0.36,17.207284874095276,0.0494727728787879
106,0.31,-65.55539191270307,0.04946782560150002
107,0.37,-54.44728777948089,0.049462878818939876
108,0.39,0.8244873751894517,0.049457932531057985
109,0.36,1.2915217771529919,0.04945298673780488
110,0.33,-31.813631233629764,0.0494480414391311
111,0.33,18.564398063070904,0.04944309663498719
112,0.31,-57.83859496532678,0.04943815232532369
113,0.4,-68.55539191270307,0.049433208510091156
114,0.41,-65.29067028525377,0.04942826518924015
115,0.38,-38.010506504581926,0.04942332236272123
116,0.0,-2.1760522179341706,0.04941838003048495
117,0.0,-38.18526095811282,0.0494134381924819
118,0.0,28.2107926585603,0.04940849684866266
119,0.0,5.989692335673701,0.04940355599897779
120,0.0,-93.17380628076197,0.04939861564337789
121,0.0,12.661605590510135,0.049393675781813556
122,0.0,-67.02365336080084,0.04938873641423538
123,0.36,-80.12874284159109,0.04938379754059395
124,0.45,-26.85734897928353,0.049378859160839894
125,0.34,-29.654819720661017,0.049373921274923814
126,0.3,-37.07970953661393,0.04936898388279632
127,0.32,-82.19181587081106,0.04936404698440804
128,0.35,7.118023408136767,0.049359110579709604
129,0.3,-52.94973036844634,0.049354174668651635
130,0.33,-29.37885163848334,0.04934923925118477
131,0.29,-59.90079452627815,0.049344304327259655
132,0.32,0.0,0.04933936989682693
133,0.34,-28.829762726327004,0.049334435959837254
134,0.23,29.49059287198404,0.04932950251624127
135,0.29,21.278608795876178,0.04932456956598964
136,0.32,-12.470552526393309,0.049319637109033046
137,0.3,-79.82364894294363,0.049314705145322144
138,0.3,3.209643169704774,0.049309773674807614
139,0.0,13.633400477771367,0.049304842697440135
140,0.0,3.6307451853684545,0.04929991221317039
141,0.0,0.0,0.04929498222194908
142,0.0,10.127614055143798,0.049290052723726885
143,0.0,11.985559975727092,0.04928512371845451
144,0.0,2.313525952989464,0.049280195206082664
145,0.0,-36.9885689374833,0.049275267186562055
146,0.26,7.894004141422995,0.0492703396598434
147,0.26,-39.729968170809485,0.049265412625877414
148,0.26,27.855354020658247,0.04926048608461483
149,0.41,1.9894934954180736,0.04925556003600637
150,0.19,35.559284336251494,0.04925063448000277
151,0.4,-30.597973918126236,0.04924570941655477
152,0.26,9.61558173193318,0.04924078484561312
153,0.22,13.246326917301634,0.049235860767128554
154,0.21,15.316857070144444,0.04923093718105184
155,0.3,-1.8120955571382233,0.049226014087333736
156,0.31,-2.6201207121074797,0.049221091485925
157,0.22,14.976046711828378,0.04921616937677641
158,0.26,2.6155817319331796,0.04921124775983873
159,0.21,9.769917023340756,0.04920632663506275
160,0.23,25.119205976093795,0.049201406002399244
161,0.18,31.7855526302172,0.049196485861799005
162,0.0,-2.8297627263270035,0.04919156621321283
163,0.0,5.0,0.04918664705659151
164,0.0,29.02205337650554,0.04918172839188585
165,0.0,21.725579454086482,0.049176810219046664
166,0.0,-1.3665995222286336,0.04917189253802476
167,0.0,-3.0,0.04916697534877096
168,0.0,-1.8297627263270033,0.04916205865123608
169,0.0,39.10174795329572,0.049157142445370956
170,0.19,-2.0105065045819264,0.04915222673112642
171,0.19,38.821294722869126,0.049147311508453306
172,0.18,0.8660489896750716,0.04914239677730246
173,0.25,7.958892107468349,0.04913748253762473
174,0.26,26.878387875782156,0.04913256878937097
175,0.25,7.7357879560966785,0.049127655532492036
176,0.27,22.6843104615237,0.04912274276693879
177,0.3,15.497999222715446,0.04911783049266209
178,0.2,-3.0,0.049112918709612825
179,0.21,8.405734408140324,0.049108007417741864
180,0.3,-3.9915857334579834,0.04910309661700009
181,0.24,5.7919327889895404,0.049098186307338386
182,0.11,-6.96189986381214,0.049093276488707656
183,0.32,-12.0,0.049088367161058785
184,0.14,-10.455460721302073,0.04908345832434268
185,0.28,2.4942938698653716,0.049078549978510244
186,0.0,-14.944455017308789,0.049073642123512395
187,0.0,8.597005856181667,0.04906873475930004
188,0.0,-1.3844182680668204,0.04906382788582411
189,0.0,-0.5164745564649609,0.04905892150303553
190,0.0,2.181667180704445,0.049054015610885224
191,0.0,11.199007884536426,0.049049110209324134
192,0.0,11.072323211918132,0.0490442052983032
193,0.25,15.165005916369688,0.04903930087777337
194,0.15,-14.010506504581926,0.04903439694768559
195,0.3,16.705081852614803,0.04902949350799082
196,0.2,-16.598041682349336,0.04902459055864002
197,0.12,1.6482350304963465,0.04901968809958416
198,0.38,7.439529513999009,0.0490147861307742
199,0.18,-2.9444550173087887,0.04900988465216113
200,0.2,40.91857414375563,0.04900498366369591
