epochs,losses,rewards,epsilons
0,0.0,-156.55325779365847,0.049995000000000005
1,0.0,-84.81877163763993,0.049990000500000006
2,0.0,-180.0,0.049985001499950006
3,0.0,-222.0,0.04998000299980001
4,0.0,-173.55539191270307,0.04997500499950003
5,0.0,-174.0,0.04997000749900008
6,0.0,-129.96729649698088,0.04996501049825018
7,1.55,-168.0,0.049960013997200355
8,1.55,-32.62012071210748,0.049955017995800634
9,1.52,-57.0,0.04995002249400105
10,1.29,-141.18635943230763,0.04994502749175165
11,1.08,-186.0,0.04994003298900247
12,0.88,-192.0,0.049935038985703575
13,1.38,-54.0,0.049930045481805005
14,1.13,-136.123444505743,0.04992505247725682
15,1.12,-134.829762726327,0.049920059972009094
16,1.07,-81.12163063290322,0.049915067966011896
17,1.25,-22.60981349773403,0.049910076459215295
18,0.9,-158.55539191270307,0.049905085451569374
19,0.9,-222.0,0.04990009494302422
20,1.06,-84.0,0.049895104933529916
21,0.97,-112.55539191270307,0.04989011542303656
22,0.99,-133.8900022778467,0.04988512641149426
23,0.0,-189.0,0.04988013789885311
24,0.0,-210.0,0.049875149885063225
25,0.0,-267.0,0.049870162370074717
26,0.0,-146.36925481463155,0.04986517535383771
27,0.0,-263.55539191270304,0.049860188836302326
28,0.0,-216.0,0.049855202817418696
29,0.0,-246.0,0.049850217297136956
30,1.17,-194.96734670143684,0.04984523227540724
31,1.37,-169.123444505743,0.049840247752179705
32,1.26,-112.83997039178674,0.04983526372740449
33,1.2,-80.62012071210748,0.04983028020103175
34,1.24,-25.54297512877297,0.04982529717301165
35,1.24,-57.0,0.04982031464329435
36,1.14,-100.09900663346622,0.04981533261183002
37,1.12,-120.0,0.04981035107856884
38,1.05,-86.92230056681915,0.049805370043460986
39,0.95,-222.0,0.04980038950645664
40,0.99,-189.0,0.049795409467506
41,1.08,-175.82364894294363,0.04979042992655925
42,0.99,-114.0,0.0497854508835666
43,0.91,-139.58756062716105,0.04978047233847824
44,0.85,-237.0,0.04977549429124439
45,0.92,-231.0,0.04977051674181527
46,0.0,-195.0,0.04976553969014109
47,0.0,-171.0,0.049760563136172074
48,0.0,-150.43957622406103,0.04975558707985846
49,0.0,-171.0,0.04975061152115047
50,0.0,-98.56623872020015,0.049745636459998355
51,0.0,-164.29067028525378,0.04974066189635235
52,0.0,-156.0,0.04973568783016272
53,1.1,-242.90079452627816,0.0497307142613797
54,1.0,-106.59047775222129,0.049725741189953564
55,1.17,-135.0,0.04972076861583457
56,0.95,-33.19771442781026,0.049715796538972984
57,1.1,-15.0,0.04971082495931909
58,0.95,-99.0,0.04970585387682316
59,0.89,-10.681953925187507,0.049700883291435474
60,0.72,5.676676416183064,0.04969591320310633
61,0.75,0.0,0.04969094361178602
62,0.68,0.0,0.04968597451742484
63,0.58,0.17023727367299668,0.0496810059199731
64,0.48,0.0,0.049676037819381104
65,0.59,5.471124217026325,0.04967107021559917
66,0.45,-0.7872257088811219,0.04966610310857761
67,0.59,0.0,0.04966113649826675
68,0.52,10.062671670033986,0.04965617038461692
69,0.0,2.0057682341991505,0.049651204767578457
70,0.0,-13.609813497734029,0.0496462396471017
71,0.0,4.825224901637954,0.04964127502313699
72,0.0,1.5628456623166633,0.04963631089563468
73,0.0,-3.0,0.049631347264545114
74,0.0,-3.0,0.04962638412981866
75,0.0,-6.0,0.04962142149140568
76,0.0,2.4509110878436653,0.04961645934925654
77,0.47,16.615332228440376,0.049611497703321614
78,0.47,-12.0,0.04960653655355128
79,0.4,21.284750386691258,0.049601575899895924
80,0.47,23.91796352174072,0.049596615742305936
81,0.4,-3.0,0.049591656080731704
82,0.32,0.0,0.04958669691512363
83,0.24,11.433371510426191,0.04958173824543212
84,0.33,1.1702372736729967,0.049576780071607575
85,0.33,1.3901865022659705,0.04957182239360042
86,0.3,8.310657076972003,0.049566865211361055
87,0.2,0.0,0.049561908524839916
88,0.24,14.862616798535988,0.049556952333987436
89,0.21,0.0,0.04955199663875404
90,0.19,1.3901865022659705,0.04954704143909016
91,0.26,2.0,0.04954208673494625
92,0.19,3.6307451853684545,0.04953713252627275
93,0.0,2.515838727503705,0.04953217881302013
94,0.0,10.877040078362153,0.04952722559513883
95,0.0,4.6155817319331796,0.049522272872579313
96,0.0,2.9757609679788493,0.04951732064529206
97,0.0,12.165542704844515,0.04951236891322753
98,0.0,0.0,0.04950741767633621
99,0.0,11.2383907323314,0.04950246693456858
100,0.23,3.9153920014081103,0.04949751668787512
