epochs,losses,rewards,epsilons
0,0.0,-195.0,0.049995000000000005
1,0.0,-258.0,0.049990000500000006
2,0.0,-132.0,0.049985001499950006
3,0.0,-261.0,0.04998000299980001
4,0.0,-123.0,0.04997500499950003
5,0.0,-150.0,0.04997000749900008
6,0.0,-141.0,0.04996501049825018
7,1.83,-138.56623872020015,0.049960013997200355
8,1.52,-96.0,0.049955017995800634
9,1.72,14.604923948806219,0.04995002249400105
10,1.48,-89.01050650458193,0.04994502749175165
11,1.13,-183.57705412257917,0.04994003298900247
12,1.41,-270.0,0.049935038985703575
13,1.26,-75.0,0.049930045481805005
14,1.43,-78.0,0.04992505247725682
15,1.38,-234.0,0.049920059972009094
16,1.09,-149.16653309373362,0.049915067966011896
17,1.25,-150.0,0.049910076459215295
18,1.17,-62.71932618582933,0.049905085451569374
19,1.13,-138.0,0.04990009494302422
20,1.22,-141.0,0.049895104933529916
21,1.04,-103.38441826806682,0.04989011542303656
22,0.99,-132.0,0.04988512641149426
23,0.0,-77.94445501730878,0.04988013789885311
24,0.0,-135.36905597437593,0.049875149885063225
25,0.0,-42.0,0.049870162370074717
26,0.0,-28.60981349773403,0.04986517535383771
27,0.0,-237.0,0.049860188836302326
28,0.0,-102.0,0.049855202817418696
29,0.0,-92.71932618582933,0.049850217297136956
30,1.07,-159.0,0.04984523227540724
31,1.18,-67.09900663346622,0.049840247752179705
32,0.9,-13.319911802898508,0.04983526372740449
33,0.98,-60.0,0.04983028020103175
34,0.89,-22.38441826806682,0.04982529717301165
35,0.9,-113.88956230401709,0.04982031464329435
36,1.06,-86.78336960562832,0.04981533261183002
37,0.79,-69.0,0.04981035107856884
38,0.89,-103.91130103086007,0.049805370043460986
39,0.87,-153.0,0.04980038950645664
40,0.83,-129.0,0.049795409467506
41,0.86,-90.0,0.04979042992655925
42,0.73,-16.385154639030073,0.0497854508835666
43,0.64,-3.1827741850820104,0.04978047233847824
44,0.65,-38.55539191270307,0.04977549429124439
45,0.64,-105.0,0.04977051674181527
46,0.0,-89.90079452627815,0.04976553969014109
47,0.0,-104.52273861413991,0.049760563136172074
48,0.0,-169.7847242482177,0.04975558707985846
49,0.0,-144.0,0.04975061152115047
50,0.0,-118.09900663346622,0.049745636459998355
51,0.0,-30.0,0.04974066189635235
52,0.0,-95.55539191270307,0.04973568783016272
53,0.84,-48.0,0.0497307142613797
54,0.59,-48.87331256467682,0.049725741189953564
55,0.58,-48.0,0.04972076861583457
56,0.65,-69.55325779365845,0.049715796538972984
57,0.53,-10.123444505743002,0.04971082495931909
58,0.64,-80.35146613038147,0.04970585387682316
59,0.56,11.756434777642824,0.049700883291435474
60,0.49,-86.62012071210748,0.04969591320310633
61,0.87,-64.57154545424223,0.04969094361178602
62,0.51,-106.60981349773402,0.04968597451742484
63,0.5,-147.0,0.0496810059199731
64,0.61,-136.2299342098415,0.049676037819381104
65,0.52,-50.384418268066824,0.04967107021559917
66,0.51,-84.56623872020015,0.04966610310857761
67,0.58,-126.0,0.04966113649826675
68,0.69,-114.0,0.04965617038461692
69,0.0,-161.05221386553623,0.049651204767578457
70,0.0,-117.0,0.0496462396471017
71,0.0,-93.0,0.04964127502313699
72,0.0,-79.80770934982147,0.04963631089563468
73,0.0,-80.42586140136633,0.049631347264545114
74,0.0,-95.46703324647828,0.04962638412981866
75,0.0,-102.0,0.04962142149140568
76,0.0,-96.21962699546805,0.04961645934925654
77,0.79,-48.30239189618251,0.049611497703321614
78,0.85,-55.090791207179834,0.04960653655355128
79,0.78,-56.0,0.049601575899895924
80,0.72,-127.82364894294363,0.049596615742305936
81,0.73,-61.123444505743,0.049591656080731704
82,0.64,-51.0,0.04958669691512363
83,0.61,-91.21870198758043,0.04958173824543212
84,0.47,-7.4556467595250755,0.049576780071607575
85,0.43,-35.45618643898121,0.04957182239360042
86,0.46,0.06530659712633469,0.049566865211361055
87,0.48,-9.0,0.049561908524839916
88,0.45,-12.0,0.049556952333987436
89,0.58,21.238156459016892,0.04955199663875404
90,0.46,0.0,0.04954704143909016
91,0.46,2.0,0.04954208673494625
92,0.43,0.6766764161830636,0.04953713252627275
93,0.0,-1.823648942943639,0.04953217881302013
94,0.0,51.19487257869446,0.04952722559513883
95,0.0,-7.201971316113844,0.049522272872579313
96,0.0,-0.8540017583481538,0.04951732064529206
97,0.0,3.0362862633480683,0.04951236891322753
98,0.0,11.861908649234813,0.04950741767633621
99,0.0,-9.0,0.04950246693456858
100,0.44,0.16948017308931496,0.04949751668787512
