epochs,losses,rewards,epsilons
0,0.0,-85.2182377907665,0.049995000000000005
1,0.0,-149.4352561706496,0.049990000500000006
2,0.0,-241.0213085577511,0.049985001499950006
3,0.0,-179.48342490153306,0.04998000299980001
4,0.0,-143.10992834134427,0.04997500499950003
5,0.0,-205.6201291593795,0.04997000749900008
6,0.0,-223.123444505743,0.04996501049825018
7,1.91,-245.21917311584122,0.049960013997200355
8,1.97,-76.3424900992259,0.049955017995800634
9,1.71,-172.73996378063404,0.04995002249400105
10,1.72,-123.2700493409097,0.04994502749175165
11,1.58,-64.03331924745984,0.04994003298900247
12,1.51,-37.565898417285,0.049935038985703575
13,1.51,-124.12344450574301,0.049930045481805005
14,1.09,-71.76883653613365,0.04992505247725682
15,1.18,-71.69144717218597,0.049920059972009094
16,1.19,-21.04449663938101,0.049915067966011896
17,1.03,44.73694494818988,0.049910076459215295
18,0.97,-64.386346459331,0.049905085451569374
19,0.96,10.485143280477995,0.04990009494302422
20,0.85,-3.9020331579218066,0.049895104933529916
21,0.9,17.548813887842506,0.04989011542303656
22,0.78,14.199658835343122,0.04988512641149426
23,0.0,-100.90460390465236,0.04988013789885311
24,0.0,22.926883118208213,0.049875149885063225
25,0.0,-101.5311787639003,0.049870162370074717
26,0.0,-18.523268702768657,0.04986517535383771
27,0.0,-22.292313679103685,0.049860188836302326
28,0.0,-18.11120544985071,0.049855202817418696
29,0.0,-1.292286873177312,0.049850217297136956
30,0.52,-1.4263486654969801,0.04984523227540724
31,0.73,-16.389348519973005,0.049840247752179705
32,0.62,-34.84423882220256,0.04983526372740449
33,0.5,-65.72487237720682,0.04983028020103175
34,0.57,-2.967785451607352,0.04982529717301165
35,0.48,-61.35176496950365,0.04982031464329435
36,0.69,-30.324450783072805,0.04981533261183002
37,0.6,-11.832374392409168,0.04981035107856884
38,0.51,3.489690815110012,0.049805370043460986
39,0.6,-85.97641683115526,0.04980038950645664
40,0.44,-8.629789256937528,0.049795409467506
41,0.59,-156.90079452627816,0.04979042992655925
42,0.64,-51.488894296610006,0.0497854508835666
43,0.52,15.492147408884065,0.04978047233847824
44,0.54,-86.04264976964627,0.04977549429124439
45,0.44,-53.323323583816936,0.04977051674181527
46,0.0,11.217149815419292,0.04976553969014109
47,0.0,-15.543903110122972,0.049760563136172074
48,0.0,23.763400546340822,0.04975558707985846
49,0.0,2.6661699116011373,0.04975061152115047
50,0.0,41.96318668163838,0.049745636459998355
51,0.0,10.693069123643188,0.04974066189635235
52,0.0,23.1459872194568,0.04973568783016272
53,0.52,31.420288588333378,0.0497307142613797
54,0.47,4.106066224088974,0.049725741189953564
55,0.38,10.014668821302475,0.04972076861583457
56,0.32,2.3505894845745665,0.049715796538972984
57,0.39,-53.71932618582933,0.04971082495931909
58,0.29,45.57306736650959,0.04970585387682316
59,0.38,5.989692335673701,0.049700883291435474
60,0.33,-13.580293299989421,0.04969591320310633
61,0.35,15.799894495027644,0.04969094361178602
62,0.38,79.33689585751506,0.04968597451742484
63,0.26,35.04082422267815,0.0496810059199731
64,0.28,4.209414083739255,0.049676037819381104
65,0.19,-78.58343580902537,0.04967107021559917
66,0.25,-7.6035045149260085,0.04966610310857761
67,0.35,7.315978593944164,0.04966113649826675
68,0.33,-33.058984568624226,0.04965617038461692
69,0.0,4.620094828889096,0.049651204767578457
70,0.0,1.270167309588742,0.0496462396471017
71,0.0,9.140930992283083,0.04964127502313699
72,0.0,39.90114477028737,0.04963631089563468
73,0.0,0.46553977493135656,0.049631347264545114
74,0.0,17.757230330751874,0.04962638412981866
75,0.0,13.953717556193617,0.04962142149140568
76,0.0,23.281512396123414,0.04961645934925654
77,0.26,-12.321544115564391,0.049611497703321614
78,0.4,-22.104973527169058,0.04960653655355128
79,0.31,4.845035980511218,0.049601575899895924
80,0.29,6.179100924135598,0.049596615742305936
81,0.25,-23.037631097081835,0.049591656080731704
82,0.27,-59.40662408637568,0.04958669691512363
83,0.28,13.37769630091898,0.04958173824543212
84,0.25,30.71068036092452,0.049576780071607575
85,0.25,17.456332742666753,0.04957182239360042
86,0.27,26.35682566669182,0.049566865211361055
87,0.28,23.832878657020938,0.049561908524839916
88,0.2,28.987479552943118,0.049556952333987436
89,0.21,13.844386779798985,0.04955199663875404
90,0.25,-2.784724248217718,0.04954704143909016
91,0.19,27.112002114804092,0.04954208673494625
92,0.18,11.636513419567605,0.04953713252627275
93,0.0,36.98861019981828,0.04953217881302013
94,0.0,40.600396400088236,0.04952722559513883
95,0.0,21.821948756554118,0.049522272872579313
96,0.0,19.435040232784424,0.04951732064529206
97,0.0,6.097159763731481,0.04951236891322753
98,0.0,16.391079580921133,0.04950741767633621
99,0.0,7.8239967000184745,0.04950246693456858
100,0.22,55.25004096889197,0.04949751668787512
