condition,training_final_reward,training_best_reward,eval_avg_reward,eval_std_reward
full,65.88187972908436,156.35403966170833,49.719220207760955,29.34561986204042
self,12.316283848511635,154.5705035961482,48.43136990858148,32.13775417601687
other,87.45930869223209,153.77644091858454,53.09731085277482,29.810276980230995
none,76.13926576639638,207.6663969634773,53.089368163379795,34.75698305852447
